CHR_ID,ELEVATION,READ_DATE,DATUM_ADJ
01003300,1223.73,1938/10/29,NGVD 29
01003300,1223.99,1938/12/30,NGVD 29
01003300,1224.25,1939/2/27,NGVD 29
01003300,1224.25,1939/3/1,NGVD 29
01003300,1224.27,1939/3/23,NGVD 29
01003300,1224.29,1939/3/27,NGVD 29
01003300,1224.27,1939/4/3,NGVD 29
01003300,1224.29,1939/4/10,NGVD 29
01003300,1224.43,1939/4/27,NGVD 29
01003300,1224.29,1939/5/3,NGVD 29
01003300,1224.39,1939/5/8,NGVD 29
01003300,1224.25,1939/5/29,NGVD 29
01003300,1224.29,1939/6/7,NGVD 29
01003300,1224.33,1939/6/10,NGVD 29
01003300,1224.25,1939/6/19,NGVD 29
01003300,1224.31,1939/6/27,NGVD 29
01003300,1224.29,1939/7/10,NGVD 29
01003300,1224.09,1939/7/24,NGVD 29
01003300,1224.03,1939/8/9,NGVD 29
01003300,1223.85,1939/8/28,NGVD 29
01003300,1223.75,1939/9/8,NGVD 29
01003300,1223.69,1939/9/17,NGVD 29
01003300,1223.57,1939/9/25,NGVD 29
01003300,1223.59,1939/10/11,NGVD 29
01003300,1223.57,1939/10/23,NGVD 29
01003300,1223.49,1939/11/7,NGVD 29
01003300,1223.89,1940/4/28,NGVD 29
01003300,1224.27,1940/5/22,NGVD 29
01003300,1224.29,1940/5/28,NGVD 29
01003300,1223.99,1940/7/2,NGVD 29
01003300,1223.85,1940/7/30,NGVD 29
01003300,1223.71,1940/8/26,NGVD 29
01003300,1223.76,1940/8/30,NGVD 29
01003300,1223.69,1940/10/5,NGVD 29
01003300,1223.69,1940/10/12,NGVD 29
01003300,1223.59,1940/10/19,NGVD 29
01003300,1223.59,1940/10/26,NGVD 29
01003300,1223.75,1940/10/31,NGVD 29
01003300,1223.79,1940/11/2,NGVD 29
01003300,1223.79,1940/11/9,NGVD 29
01003300,1223.79,1940/11/16,NGVD 29
01003300,1223.79,1940/11/23,NGVD 29
01003300,1223.79,1940/11/30,NGVD 29
01003300,1223.79,1940/12/7,NGVD 29
01003300,1223.79,1940/12/14,NGVD 29
01003300,1223.79,1940/12/21,NGVD 29
01003300,1223.79,1940/12/28,NGVD 29
01003300,1223.79,1940/12/30,NGVD 29
01003300,1223.79,1940/12/31,NGVD 29
01003300,1223.79,1941/1/4,NGVD 29
01003300,1223.79,1941/1/11,NGVD 29
01003300,1223.79,1941/1/18,NGVD 29
01003300,1223.79,1941/1/25,NGVD 29
01003300,1223.79,1941/1/31,NGVD 29
01003300,1223.79,1941/2/1,NGVD 29
01003300,1223.79,1941/2/8,NGVD 29
01003300,1223.79,1941/2/15,NGVD 29
01003300,1223.79,1941/2/22,NGVD 29
01003300,1223.89,1941/2/28,NGVD 29
01003300,1223.99,1941/3/8,NGVD 29
01003300,1223.99,1941/3/17,NGVD 29
01003300,1223.99,1941/3/18,NGVD 29
01003300,1223.99,1941/3/19,NGVD 29
01003300,1224.09,1941/3/20,NGVD 29
01003300,1224.09,1941/3/21,NGVD 29
01003300,1224.09,1941/3/22,NGVD 29
01003300,1224.09,1941/3/23,NGVD 29
01003300,1224.09,1941/3/24,NGVD 29
01003300,1224.09,1941/3/25,NGVD 29
01003300,1224.09,1941/3/26,NGVD 29
01003300,1224.09,1941/3/27,NGVD 29
01003300,1224.09,1941/3/28,NGVD 29
01003300,1224.09,1941/3/29,NGVD 29
01003300,1224.09,1941/3/30,NGVD 29
01003300,1224.10,1941/3/31,NGVD 29
01003300,1224.13,1941/4/1,NGVD 29
01003300,1224.13,1941/4/2,NGVD 29
01003300,1224.13,1941/4/3,NGVD 29
01003300,1224.13,1941/4/4,NGVD 29
01003300,1224.13,1941/4/5,NGVD 29
01003300,1224.13,1941/4/6,NGVD 29
01003300,1224.13,1941/4/7,NGVD 29
01003300,1224.19,1941/4/8,NGVD 29
01003300,1224.23,1941/4/9,NGVD 29
01003300,1224.23,1941/4/10,NGVD 29
01003300,1224.45,1941/4/11,NGVD 29
01003300,1224.45,1941/4/12,NGVD 29
01003300,1224.45,1941/4/13,NGVD 29
01003300,1224.59,1941/4/14,NGVD 29
01003300,1224.59,1941/4/15,NGVD 29
01003300,1224.59,1941/4/16,NGVD 29
01003300,1224.59,1941/4/28,NGVD 29
01003300,1224.59,1941/4/29,NGVD 29
01003300,1224.59,1941/4/30,NGVD 29
01003300,1224.59,1941/5/1,NGVD 29
01003300,1224.59,1941/5/2,NGVD 29
01003300,1224.59,1941/5/4,NGVD 29
01003300,1224.59,1941/5/5,NGVD 29
01003300,1224.59,1941/5/6,NGVD 29
01003300,1224.59,1941/5/7,NGVD 29
01003300,1224.59,1941/5/8,NGVD 29
01003300,1224.59,1941/5/9,NGVD 29
01003300,1224.59,1941/5/10,NGVD 29
01003300,1224.59,1941/5/11,NGVD 29
01003300,1224.59,1941/5/12,NGVD 29
01003300,1224.59,1941/5/13,NGVD 29
01003300,1224.59,1941/5/14,NGVD 29
01003300,1224.59,1941/5/15,NGVD 29
01003300,1224.59,1941/5/16,NGVD 29
01003300,1224.59,1941/5/17,NGVD 29
01003300,1224.49,1941/5/18,NGVD 29
01003300,1224.49,1941/5/19,NGVD 29
01003300,1224.49,1941/5/20,NGVD 29
01003300,1224.49,1941/5/21,NGVD 29
01003300,1224.49,1941/5/22,NGVD 29
01003300,1224.49,1941/5/23,NGVD 29
01003300,1224.49,1941/5/24,NGVD 29
01003300,1224.59,1941/5/25,NGVD 29
01003300,1224.59,1941/5/27,NGVD 29
01003300,1224.59,1941/5/28,NGVD 29
01003300,1224.59,1941/5/29,NGVD 29
01003300,1224.59,1941/5/30,NGVD 29
01003300,1224.59,1941/5/31,NGVD 29
01003300,1224.59,1941/6/1,NGVD 29
01003300,1224.59,1941/6/2,NGVD 29
01003300,1224.59,1941/6/4,NGVD 29
01003300,1224.59,1941/6/5,NGVD 29
01003300,1224.69,1941/6/6,NGVD 29
01003300,1224.69,1941/6/7,NGVD 29
01003300,1224.59,1941/6/8,NGVD 29
01003300,1224.59,1941/6/10,NGVD 29
01003300,1224.59,1941/6/11,NGVD 29
01003300,1224.59,1941/6/12,NGVD 29
01003300,1224.73,1941/6/13,NGVD 29
01003300,1224.73,1941/6/14,NGVD 29
01003300,1224.73,1941/6/15,NGVD 29
01003300,1224.69,1941/6/17,NGVD 29
01003300,1224.69,1941/6/18,NGVD 29
01003300,1224.69,1941/6/19,NGVD 29
01003300,1224.69,1941/6/20,NGVD 29
01003300,1224.79,1941/6/21,NGVD 29
01003300,1224.79,1941/6/22,NGVD 29
01003300,1224.79,1941/6/23,NGVD 29
01003300,1224.79,1941/6/24,NGVD 29
01003300,1224.79,1941/6/25,NGVD 29
01003300,1224.69,1941/6/26,NGVD 29
01003300,1224.69,1941/6/28,NGVD 29
01003300,1224.64,1941/6/30,NGVD 29
01003300,1224.59,1941/7/2,NGVD 29
01003300,1224.59,1941/7/3,NGVD 29
01003300,1224.59,1941/7/4,NGVD 29
01003300,1224.59,1941/7/5,NGVD 29
01003300,1224.59,1941/7/6,NGVD 29
01003300,1224.49,1941/7/7,NGVD 29
01003300,1224.49,1941/7/13,NGVD 29
01003300,1224.49,1941/7/14,NGVD 29
01003300,1224.49,1941/7/15,NGVD 29
01003300,1224.49,1941/7/16,NGVD 29
01003300,1224.49,1941/7/17,NGVD 29
01003300,1224.49,1941/7/18,NGVD 29
